ID,LABEL,IAO:0000115,oboInOwl:hasExactSynonym,oboInOwl:hasNarrowSynonym,oboInOwl:hasBroadSynonym,oboInOwl:hasRelatedSynonym,rdfs:comment
obo:PREFER_0000149,metagenomics sample calculated variable,A genomics sample calculated variable that represents metagenomic features derived from computational analysis using DNA sequence data from an offline sample associated with a fermentation process.,,,,,
obo:PREFER_0000150,data acquisition quality,"A quality that inheres in data or samples and specifies how, where, and when measurements are obtained in a bioreactor or fermentation system during the process.",,,,,
obo:PREFER_0000151,inline data acquisition,"A data acquisition quality in which the analyzer or sensor is physically integrated into the bioreactor or process stream, allowing continuous measurement without removal of samples, typically providing high-frequency or real-time data for process monitoring and control.",,,,,
obo:PREFER_0000152,online data acquisition,"A data acquisition quality in which samples are automatically withdrawn from the bioreactor or process stream and introduced into a measurement zone, with measurement results made available in near real time for monitoring and control. The analyzed sample may be discarded or returned to the process.",,,,,
obo:PREFER_0000153,atline data acquisition,"A data acquisition quality in which samples are withdrawn from the process stream and transported a short distance to a nearby analytical device for measurement, involving a short delay between sampling and data availability. The analyzed sample is discarded and not returned to the process.",at-line data acquisition,,,,
obo:PREFER_0000154,offline data acquisition,"A data acquisition quality in which samples are collected from the process and transported to an external laboratory or analysis location for measurement, with the sample not returned to the process line and with a significant delay between sampling and data availability.",,,,,
obo:PREFER_0000155,process yield metric,"A key process metric that represents a quantitative metric, tipically expressed as yield coefficients, that quantify the efficiency of converting inputs(e.g. substrates) into desired outputs(e.g. products), expressed as the ratio of output formed per unit of substrate or biomass consumed.",key precision fermentation process yield metric,,,,
obo:PREFER_0000157,carbon balance metric,"A core balance metric that represents a quantitative metric derived from carbon balance calculations over a process, used to characterize the carbon flow within a bioreactor or fermenter system during the fermentation process.",,,,,
obo:PREFER_0000158,respiratory rate metric,A process rate metric variable that represents a rate describing respiratory activity of a production culture in a bioreactor or fermentation system during a fermentation process.,gas exchange metric|metabolic metric,,,,
obo:PREFER_0000159,bioproduction rate metric,"A process rate metric that represents a rate describing substrate consumptions, compound production (e.g. product formation) and biomass production in a bioreactor or fermentation system during a fermentation process.",,,,,
obo:PREFER_0000160,growth rate metric,A process rate metric that represents a rate describing biomass formation or growth in a bioreactor or fermentation system during a fermentation process.,,,,,
obo:PREFER_0000161,biomass balance metric,"A core balance metric that represents a quantitative metric derived from biomass balance calculations over a process, used to characterize the balance of biomass output within a bioreactor or fermenter system during the fermentation fermentation process.",,,,,
obo:PREFER_0000162,compound balance metric,"A core balance metric that represents a quantitative metric derived from compound balance calculations over a process, used to characterize the compound balabce within a bioreactor or fermenter system during the fermentation process.",,,,,
obo:PREFER_0000180,operation mode control variable,"A precision fermentation process control variable that defines the operating stategy of a bioreactor or fermentation system, specifying how substrate, products and biomass are introduced, maintained, and removed during a fermentation process.",fermentation cultivation mode control variable|precision fermenation process feed control variable,,operational mode control variable,,
obo:PREFER_0000181,batch operation mode,"An operation mode control variable in which all required medium components and the inoculum are supplied at the start of the fermentation process, with no subsequent addition of medium components during operation, and in which products are harvested only at the end of the fermentation process.",batch bioprocess mode,,batch cultivation|batch mode,batch cell culture,
obo:PREFER_0000182,fed-batch operation mode,"An operation mode control variable in which additional nutrients, through feed medium, are intermittently or continuously supplied to the bioreactor or fermentar system during a fermentation process, without removal of production culture fluid, until termination of the fermentation process.",fed-batch fermentation mode,,fed-batch cultivation|fed-batch mode,,
obo:PREFER_0000183,continuous operation mode-chemostat,"An operation mode control variable in which fresh fermentation medium is supplied and fermentation culture fluid removed at a constant rate, such that the specific growth rate of the biomass is controlled by the limiting nutrient concentration and equals the dilution rate.","continuous fermentation mode, chemostat",,"continuous mode, chemostat",,
obo:PREFER_0000184,continuous operation mode-turbidostat,"An operation mode control variable in which fresh fermentation medium is supplied and fermentation culture fluid removed in response to feedback control, such that the biomass concentration is maintained constant at a predefined turbidity or optical density.","continuous fermentation mode, turbidostat",,"continuous mode, turbidostat",,
obo:PREFER_0000185,bioreactor scale,"A quality that inheres in a bioreactor and that characterizes its working volume, and used to classify bioreactors based on their intended application, ranging from laboratory research to industrial production.",,,,,
obo:PREFER_0000186,laboratory bioreactor scale,"A bioreactor scale that refers to small volume bioreactor systems used for laboratory scale experimentation, research, development, and process optimization, typically ranging from a few milliliters to several liters in working volume.",bench bioreactor scale|bench scale|benchtop bioreactor scale|benchtop scale|lab bioreactor scale|lab-scale|laboratory scale,,,,
obo:PREFER_0000187,pilot bioreactor scale,"A bioreactor scale that serves as an intermediate step between laboratory scale and industrial scale, typically ranging from several liters to a few hundred liters in working volume.",pilont plant bioreactor scale|pilot-scale|pre pilot plant-scale|pre pilot-scale,pre-pilot plant bioreactor scale,,,
obo:PREFER_0000188,industrial bioreactor scale,"A bioreactor scale used for large-scale production, typically ranging from several hundred liters to thousands of liters or more in working volume.",industrial scale|industrial-scale,,,,
obo:PREFER_0000189,feed profile type control variable,The feeding strategies typically found in a fed-batch or continuous fermentation types.,feed profile type|feeding profile|feeding strategy,,,,The type of feeding profiles applied is process specific.
obo:PREFER_0000190,constant feeding rate,A feed profile type control variable in which the feed rate is maintained at a constant value throughout the feeding phase.,,,,,
obo:PREFER_0000191,linear feeding rate,A feed profile type control variable in which the feed rate changes linearly with time throughout the feeding phase.,,,,,
obo:PREFER_0000192,exponential feeding rate,A feed profile type control variable in which the feed rate increases exponentially with time throughout the feeding phase.,,,,,
obo:PREFER_0000193,constant-linear feeding rate,A feed profile type control variable in which the feed rate begins at a constant rate and subsequently transitions to a linearly changing feed rate with time throughout the feeding phase.,,,,,
obo:PREFER_0000194,constant-exponential feeding rate,A feed profile type control variable in which the feed rate begins at a constant rate and subsequently transitions to a exponentially increasing feed rate with time throughout the feeding phase.,,,,,
obo:PREFER_0000195,exponential-linear feeding rate,A feed profile type control variable in which the feed rate begins with an exponentially increasing rate and subsequently transitions to a linearly changing feed rate with time throughout the feeding phase.,,,,,
obo:PREFER_0000200,fermentation culture role,"A role that inheres in a fermentation culture and that involves the culture participating in, enabling or initiating a fermentation process.",,,,,
obo:PREFER_0000203,production culture,A fermentation culture role that is involved in carrying out the main fermentation process to generate the desired product or cell biomass.,main culture,,,,
obo:PREFER_0000204,unpublished strain,An isolate or group of isolates that have not been published (it is not available in deposits or collections nor do you know the strain history) and hence do not yet have a universal identifier.,,,,,"Unpublished strain is a quality used to tag strains that do not yet have a universal identifier. If or when they get published, this tag should be removed. All strains should still be under taxon. Strain and subtype are often used interchangeably, although the term strain is often used to describe a set of isolates with common biochemical and/or physiological characteristics, while the term subtype is often used to describe a set of isolates with common genetic or molecular characteristics."
obo:PREFER_0000205,cell culture,"A material entity consisting of prokaryotic or eukaryotic living cells, whether unicellular or multicellular, that are maintaned, cultivated, or propagated under controlled environmental conditions.",,,,,
obo:PREFER_0000206,microbial culture,"A material entity consisting of microorganisms-unicellular microbial cell cultures- either prokaryotic (such as bacteria, archaea, or cyanobactreia) or eukaryotic (such as yeast, microalgae and protozoa), that are maintaned, cultivated, or propagated under controlled environmental conditions.",microbiological culture,,,,
obo:PREFER_0000207,tissue culture,"A material entity consisting of multicellular tissue, such as plant tissue cultures, animal cell-derived tissue cultures (including mammalian), or cultures of filamentous fungi, that is maintaned, cultivated, or propagated under controlled environmental conditions.",,,,,
obo:PREFER_0000209,omics sample calculated variable,A precision fermentation process calculated variable that represents a set of values derived from computational analysis or omics data procesing from an offline sample associated with a fermentation process.,calculated omics offline sample variable|computed omics offline sample variable|computed omics sample variable,,,,
obo:PREFER_7000000,mole per carbon mole,"A unit representing a mol-based ratio, typically used to express product, output substance or input - such as compound and substrate -  in moles per carbon mole of biomass(X) generated or substrate(S) consumed (mol/cmol).",mol/c-mol|mol/cmol,,,mole per carbon mole,
obo:PREFER_7000001,mole per carbon mole per hour,"A unit representing a compound rate, expressed as moles per carbon mole(X) per hour ((mol/cmol)/h).",(mol/c-mol)/h|(mol/cmol)/h,,,mole per carbon mole per hour,
obo:PREFER_7000002,carbon mole,Semantically equivalent in magnitude to the SI mole (1 C-mol = 1 mol) but used to indicate mole of carbon atoms (cmol).,C-mol|cmol|mole of carbon atoms,,,carbon mole,
obo:PREFER_7000003,carbon mole per gram,"A unit representing a carbon-based ratio, typically used to express product or output substance - such as biomass or compound - in carbon moles per gram of initial material or input substrate consumed (cmol/g).",c-mol/g|cmol/g,,,carbon mole per gram,
obo:PREFER_7000004,carbon mole per carbon mole,"A unit representing a carbon-based ratio, typically used to express product, output substance or input - such as biomass, compound and substrate -  in carbon moles per carbon mole of biomass generated, initial material consumed or input substrate consumed (cmol/cmol).",c-mol/c-mol|cmol/cmol,,,carbon mole per carbon mole,
obo:PREFER_7000005,carbon mole per hour,A unit of mass flow rate representing a carbon mole of substance passing through a given surface or system in one hour (cmol/h).,c-mol/h|cmol/h,,,carbon mole per hour,
obo:PREFER_7000006,unit of optical density,,,,,,
obo:PREFER_7000007,dimensionless unit,,,,,,
obo:PREFER_7000008,revolution per minute,,,,,,
obo:PREFER_9000000,precision fermentation process control variable,"An information content entity that represents a parameter or setting about a system, which is realized as input or configuration in controlling or regulating a fermentation process, thereby affecting the behavior, operation, or outcome of that process.",,,,,"A decision was made to classify this as a information content entity rather than realizable entity (a realizable entity that inheres in a system and is realized in processes of controlling or regulating a process, serving as a parameter or setting that affects or determines the behavior, operation, or outcome of that process) as the intention was to emphasize the informational role rather than physical realisation of the control."
obo:PREFER_9000001,precision fermentation process measurement variable,An information content entity about a precision fermentation process that specifically represents measurable attributes or values that are the outcomes of a measurement process aimed at determining characteristics of said process.,PREcision FERmentation process measurement variable,,process measurement variable,,
obo:PREFER_9000002,precision fermentation process calculated variable,"An information content entity about a process that is the output of a calculation or computation based on one or more measured or other input variables, representing derived or computed attributes related to the fermentation process.",process calculated variable|process computed variable,,,,
obo:PREFER_9000003,precision fermentation process,A process that involves precision fermentation.,,,,,"Precision fermentation is a biotechnological method used in industrial or research settings that employs genetically engineered or adaptatively laboratory-evolved (ALE) microorganisms (such as bacteria, yeast, fungi or microalgae) to produce specific, high-value compounds with precise molecular structures. This process involves controlled environments—such as operating bioreactor parameters(e.g., temperature, pH, dissolved oxygen, agitation, nutrient feed) and upstream preparation conditions(e.g., pre-culture growth, strain storage, and defined media composition)—where microbial metabolism is optimized to synthesize target products, such as proteins, enzymes, or bioactive molecules, often with greater efficiency, yield, and specificity than traditional fermentation methods."
obo:PREFER_9000004,unit,An information content entity that represents a standard quantity or measurement used to express the magnitude of a quantity.,,,,,"The decision to utilise https://units-of-measurement.org/ meant that we did not want to commit to any unit ontologies. We hence created our own parent class to parent units. Interoperability of units can be achieved by the matches in units-of-measurement, and this term should only be used to constraining in modelling."
